,input,true,prediction
2142,yuii,யூ,"யூயி
"
2143,nuzhainthiruppaargal,நுழைந்திருப்பார்கள்,"நுழைந்திருப்பார்கள்
"
2144,paik,பேக்,"பைக்
"
2145,asok,அசோகா,"அசோக்
"
2146,uloom,உலூம்,"உலூம்
"
2147,kaalatthaic,காலத்தைச்,"காலத்தைச்
"
2148,ring,ரிங்க்,"ரிங்
"
2149,ezhuththukkalilthaan,எழுத்துக்களில்தான்,"எழுத்துக்களில்தான்
"
2150,soozhappattathu,சூழப்பட்டது,"சூழப்பட்டது
"
2151,peepe,பீபி,"பீபே
"
2152,thapasu,தபசு,"தபசசு
"
2153,surver,சர்வர்,"சுர்வர்
"
2154,abul,அபுல்,"அபுல்
"
2155,toobaggoo,டொபாகோ,"டூபக்கூ
"
2156,vadikkappattathu,வடிக்கப்பட்ட,"வடிக்கப்பட்டது
"
2157,rafael,ரபேல்,ராபேல்்
2158,siththasramaththai,ஸித்தாஸ்ரமத்தை,"சித்தச்ரமத்தை
ை"
2159,tharakkuutiya,தரக்கூடிய,"தரக்குடுயிய
"
2160,amerika,அமெரிக்கா,அமேரிகாக
2161,sivanthu,சிவந்து,"சிவந்து
"
2162,thokupaiyum,தொகுப்பையும்,"தொகுபையும்
"
2163,baurnami,பெளர்ணமி,"பார்ணமி
"
2164,saey,சேய்,"சேய்
"
2165,uththarappradesa,உத்தரப்பிரதேச,"உத்தரப்பிரபேச
"
2166,chankat,சங்கத்,"சங்கட்
"
2167,vanji,வஞ்சி,"வஞ்சி
"
2168,thamizhakaththilum,தமிழகத்திலும்,"தமிழகத்திலும்
"
2169,krishna,க்ரிஷ்ணா,"கிரைஷ்ணா
"
2170,boca,போகா,"போக்கா
"
2171,bhaskar,பாஸ்கர்,"பா்்ரர்
"
2172,pinpatruvathenbathu,பின்பற்றுவதென்பது,"பின்பற்றுவதென்பது
"
2173,tamizhakatthilum,தமிழகத்திலும்,"தமிழகத்திலும்
"
2174,donaldson,டொனால்ட்சன்,டோனல்ட்்்்
2175,paniyum,பணியும்,"பணியும்
"
2176,poathum,வாங்கும்,"போதும்
"
2177,duglas,டக்ளஸ்,"டுக்லா்்
"
2178,odeesee,ஒடிசி,"ஒடீசீ
"
2179,latchanam,லட்சணம்,"லட்சனம்
"
2180,poonee,பூனீ,"பூனீ
"
2181,biksbi,பிக்ஸ்பி,"பிக்ப்பி
"
2182,vladymyr,விளாடிமிர்,"வ்லாிமிர்ர
"
2183,bharathiya,பாரதிய,"பரததியா
"
2184,kadarkaraiyilirundha,கடற்கரையிலிருந்து,"கடற்கறையிலிருந்த
"
2185,kodooramaana,கொடூரமான,"கொடோரமான
"
2186,bhaavanaiyil,பாவனையில்,"பாவனையில்
"
2187,edirpaarkkum,எதிர்பார்க்கும்,"எடிர்பார்க்கும்
"
2188,sozharkalin,சோழர்களின்,"சொழர்களின்
"
2189,tabagoo,டொபாகோ,"தபபோகோ
"
2190,poonagariyil,பூநகரியில்,"பூனகரியில்
"
2191,pottavargalukkum,போட்டவர்களுக்கும்,"பொட்டவர்களுக்கும்
"
2192,nadigaiyaana,நடிகையான,"நடிகையான
"
2193,kuantum,குஅன்டம்,"குண்டும்
"
2194,mani,மணி,"மனி
"
2195,kangra,காங்ரா,"கங்கா
"
2196,sthaapaga,ஸ்தாபக,"ச்தாபக
"
2197,virumbugiradhu,விரும்புகிறது,"விரும்புகிறது
"
2198,deevid,டேவிட்,"தீவிட்
"
2199,babeel,பாபேல்,"பாபீல்
"
2200,solvathai,சொல்வதை,"சொல்வதை
"
2201,yookaththin,யோகத்தின்,"யூகத்தின்
"
2202,beetlez,பீட்டில்ஸ்,"பீட்லெல்
"
2203,nayam,நயம்,"நாம்
"
2204,thaengaip,தேங்காய்ப்,"தேங்கைப்
"
2205,mandaal,மண்டல்,"மண்டால்
"
2206,arivuruththugireergal,அறிவுறுத்துகிறீர்கள்,"அறிவுருத்துகிறீர்கள்
"
2207,vazhangiyullathagavum,வழங்கியுள்ளதாகவும்,"வழங்கியுள்ளதகவும்
"
2208,ram,ராமா,"ராம்
"
2209,niraivuraiyodu,நிறைவுரையோடு,"நிறைவுரையொடு
"
2210,diipak,தீபக்,டிப்காக்
2211,pootaan,பூடான்,"பூடான்
"
2212,kuday,குடை,"குடய்
"
2213,naro,நீரோ,"நாரோ
"
2214,latin,லத்தீன்,"லாட்்்
"
2215,bara,பரா,"பாரா
"
2216,mentor,மென்டார்,"மென்டோர்
"
2217,chirumiyai,சிறுமியை,"சிறுமியை
"
2218,jaanakikkuththaan,ஜானகிக்குத்தான்,"ஜாணகிக்குத்தான்
"
2219,seythathaagavum,செய்ததாகவும்,"செய்ததாகவும்
"
2220,telelinks,டெலிலிங்க்ஸ்,"டெலலலின்்்்
"
2221,pauula,பவுலா,"பூல
"
2222,edukkappadavillai,எடுக்கப்படவில்லை,"எடுக்கப்படவில்லை
"
2223,padaiththathu,படைத்தது,"படைத்தது
"
2224,siriyap,சிரியப்,"சிறியப்
"
2225,ratnagiri,ரத்னகிரி,ரா்்ககிிிி
2226,livarpuul,லிவர்பூல்,"லிவர்புல்
"
2227,serbiya,செர்பியா,"செர்பியா
"
2228,jaitley,ஜெட்லி,"ஜைத்லிய
"
2229,brahmma,பிரம்ம,"பிராம்மா
"
2230,balmiki,பால்மிகி,"பா்்ிகககி
"
2231,thedhiyum,தேதியும்,"தெதியும்
"
2232,kondirukkumpoothu,கொண்டிருக்கும்போது,"கொண்டிருக்கும்பூது
"
2233,sasanangal,சாசனங்கள்,"சசனங்கள்
"
2234,zeen,ஜென்,"எீன்
"
2235,pottaar,போட்டார்,"பொட்டார்
"
2236,inthnikalvukku,இந்நிகழ்வுக்கு,"இந்நிகள்வுக்கு
"
2237,appaadal,அப்பாடல்,"அப்பாடல்
"
2238,pithon,பைதான்,"பித்தோன்
"
2239,arivadhu,அறிவது,"அறிவது
"
2240,avalaik,அவளைக்,"அவலைக்
"
2241,maasgoavin,மாஸ்கோவின்,"மாச்கோவின்
"
2242,kankaanippaalar,கண்காணிப்பாளா்,"கண்காணிப்பாளர்
"
2243,thozhilai,தொழிலை,"தொழிலை
"
2244,manju,மஞ்சு,"மஞ்சு
"
2245,maali,மாலி,"மாலி
"
2246,kuantam,குவாண்டம்,"குண்டம்
"
2247,kondirundhom,கொண்டிருந்தோம்,"கொண்டிருந்தோம்
"
2248,mugaththuvaaraththil,முகத்துவாரத்தில்,"முகத்துவாரத்தில்
"
2249,earpadaamal,ஏற்படாமல்,"ஏற்படாமல்
"
2250,athirupthiyai,அதிருப்தியை,"அதிருப்தியை
"
2251,nirvaagangal,நிர்வாகங்கள்,"நிர்வாகங்கள்
"
2252,choazharkalin,சோழர்களின்,"சோழர்களின்
"
2253,anuradhapuraththil,அனுராதபுரத்தில்,"அனுரதபுரத்தில்
"
2254,elakiri,ஏலகிரி,"எலகிிிி
"
2255,vittum,விட்டும்,"விட்டும்
"
2256,villiams,வில்லியம்ஸ்,"வில்லியம்்்
"
2257,panguthararkalaka,பங்குதாரர்களாக,"பங்குதறர்களக
"
2258,elatchaththu,இலட்சத்து,"எலட்சத்து
"
2259,gowravikkum,கௌரவிக்கும்,"குவவவிக்கும்
"
2260,saathaaranamaana,சாதாரணமான,"சாதாரணமான
"
2261,vungalukke,உங்களுக்கே,"வுங்களுக்கே
"
2262,mattravarghalthaan,மற்றவர்கள்தான்,"மற்றவர்கள்தான்
"
2263,seithathagavum,செய்ததாகவும்,"செய்ததகவும்
"
2264,thoguththa,தொகுத்த,"தொகுத்த
"
2265,greenville,க்ரீன்வில்லே,"கிரீன்வில்லே
"
2266,america,அமெரிக்கா,"அமேரிக்கா
"
2267,vatar,வாட்டர்,"வட்்ர்
"
2268,sangavi,சங்கவை,"சங்கவவி
"
2269,smartspaces,ஸ்மார்ட்ஸ்பேசஸ்,"ச்மார்ட்்்்ச்்்
"
2270,giitaa,கீதை,"கிட்டா
"
2271,thuraiviyum,துறவியும்,"துரைவியும்
"
2272,kalyana,கல்யாண,"கல்யான
"
2273,pangupetrullanar,பங்குபெற்றுள்ளனர்,"பங்குபெற்றுள்னனர்
"
2274,longmont,லாங்மாண்ட்,"லோங்மோன்ட்
"
2275,munnuthaaranamaaka,முன்னுதாரணமாக,"முன்னுதாரனமாக
"
2276,english,இங்கிலீஷ்,"எங்கிஷ்ஷ்
"
2277,rukmaniyidam,ருக்மணியிடம்,"ருக்மணியிடம்
"
2278,pirathyeagamaaga,பிரத்யேகமாக,"பிரத்யேகமாக
"
2279,chandel,சாண்டெல்,"சந்தெல்
"
2280,padaithu,படைத்து,"படைது
"
2281,jordan,ஜோர்தான்,"ஜோர்டான்
"
2282,edhirppaarkkum,எதிர்பார்க்கும்,"எதிர்ப்பார்க்கும்
"
2283,manickka,மாணிக்க,"மணிச்கக
"
2284,maalikaiyil,மாளிகையில்,"மாலிகையில்
"
2285,kalaadi,கலாடி,"கலாடி
"
2286,poonaa,பூனா,"பூனா
"
2287,cul,கூல்,"குல்
"
2288,valaithalanggalil,வலைதளங்களில்,"வலைதலங்களில்
"
2289,vaakkugalai,வாக்குகளை,"வாக்குகளை
"
2290,paniyilum,பணியிலும்,"பணியிலும்
"
2291,sayreville,சேரிவில்லே,"சய்ரேவில்ல்
"
2292,gaurila,கொரில்லா,"காரிலா
"
2293,arena,அரேனா,"அரேனா
"
2294,ilakkam,இலக்கம்,"இலக்கம்
"
2295,thevargalukkaakavum,தேவர்களுக்காகவும்,"தேவர்களுக்காகவும்
"
2296,setees,சதீஷ்,"செட்டீ்
"
2297,japanin,ஜப்பானின்,"ஜபபனின்
"
2298,tharunatthai,தருணத்தை,"தருணத்தை
"
2299,koottath,கூட்டத்,"கூட்டத்
"
2300,thatavi,தடவி,"தடவிி
"
2301,kazhivarai,கழிவறை,"கழிவரை
"
2302,paakisthaanukku,பாகிஸ்தானுக்கு,"பாகிச்தானுக்கு
"
2303,karanamaakach,காரணமாகச்,"கரணமாகச்
"
2304,inriyum,இன்றியும்,"இன்றியும்
"
2305,thaiththuvamaana,தனித்துவமான,"தைத்துவமான
"
2306,raanuvath,ராணுவத்,"ராணுவத்
"
2307,nathiyaana,நதியான,"நதியான
"
2308,ashley,ஆஷ்லே,"அஷ்லிய்
"
2309,moorthigal,மூர்த்திகள்,"மூர்திகள்
"
2310,innoayai,இந்நோயை,"இன்னோயை
"
2311,thangiullathu,தங்கியுள்ளது,"தங்கிலுள்ளது
"
2312,kadalul,கடலுள்,"கடலுள்
"
2313,uruthiyudan,உறுதியுடன்,"உருதியுடன்
"
2314,pisiyaaga,பிசியாக,"பிசியாக
"
2315,metti,மெட்டி,"மெட்டி
"
2316,paitan,பைதான்,"பைத்ன்
"
2317,aankalae,ஆண்களே,"ஆண்களே
"
2318,pirachnai,பிரச்னை,"பிரச்சை
"
2319,dayalan,தயாளன்,"டயாான்
"
2320,midland,மிட்லேண்ட்,"மிட்லாண்ட்
"
2321,cherrapunji,சிரப்புஞ்சி,"செர்ராப்்ி
"
2322,servarukku,சர்வருக்கு,"சேர்வருக்கு
"
2323,valaigutaavil,வளைகுடாவில்,"வலைகுடாவில்
"
2324,haley,ஹாலே,"ஹலலய்
"
2325,poruththappattirukku,பொருத்தப்பட்டிருக்கு,"பொருத்தப்பட்டிருக்கு
"
2326,thoguppil,தொகுப்பில்,"தொகுப்பில்
"
2327,noolagangkalil,நூலகங்களில்,"நூலகங்களில்
"
2328,qyuba,கியூபா,"கியூபா
"
2329,calumet,களுமெட்,"காலமம்
"
2330,jappaanai,ஜப்பானை,"ஜப்பானை
"
2331,radaar,ரேடார்,"ரடார்
"
2332,palatine,பலடைன்,"பாடிினன

"
2333,uudakap,ஊடகப்,"உடகப்
"
2334,kuuttattait,கூட்டத்தைத்,"குட்டட்டைட்
"
2335,mclaughlin,மெக்லாக்லின்,"ம்க்லாக்ளின்
"
2336,indri,இன்றி,"இன்றி
"
2337,iruppaiyum,இருப்பையும்,"இருப்பையும்
"
2338,punch,பஞ்ச்,"புன்ச்
"
2339,tamilaringar,தமிழறிஞர்,"தமிழரிங்ககர்
"
2340,malargalaik,மலர்களைக்,"மலர்களைக்
"
2341,srirangkaththil,ஸ்ரீரங்கத்தில்,"ச்ரீரங்கத்தில்
"
2342,aankalilum,ஆண்களிலும்,"ஆண்களிலும்
"
2343,gati,கடி,"கடடி
"
2344,matravargalaiyum,மற்றவர்களையும்,"மற்றவர்களையும்
"
2345,kaankirathu,காண்கிறது,"காண்கிறது
"
2346,siirutaip,சீருடைப்,"சிறுடைப்ப்
"
2347,paduthuk,படுத்துக்,"படுத்குக்
"
2348,chellavendum,செல்லவேண்டும்,"செல்லவேண்டும்
"
2349,piiddi,பீட்டி,"பிட்டி
"
2350,chakthi,ஓம்,"சக்தி
"
2351,thadaykalayth,தடைகளைத்,"தடய்களைத்
"
2352,vaalin,வாலின்,"வாலின்
"
2353,rawlani,ரவ்லாணி,"ரா்லாி
"
2354,powers,பவர்ஸ்,"பாவ்ர்்
"
2355,vaazhvathu,வாழ்வது,"வாழ்வது
"
2356,bambaram,பம்பரம்,பாம்பரர்்
2357,maharashtra,மகாராஷ்ட்ரா,மஹாரஷ்திரா
2358,ina,ஐநா,"இனா
"
2359,pirathesanggalukkum,பிரதேசங்களுக்கும்,"பிரதெசங்களுக்கும்
"
2360,onnum,ஒன்னும்,"ஒன்னும்
"
2361,purinthum,புரிந்தும்,"புரிந்தும்
"
2362,seiyyappattirunthaan,செய்யப்பட்டிருந்தான்,"செய்யப்பட்டிருந்தான்
"
2363,pirushadhanukku,பிருஷதனுக்கு,"பிருஷதனுக்கு
"
2364,apparels,அப்பேரல்ஸ்,"அப்பாரல்்்
"
2365,valimaiyaana,வலிமையான,"வலிமையான
"
2366,nirvaagaththirkum,நிர்வாகத்திற்கும்,"நிர்வாகத்திற்கும்
"
2367,yeno,ஏனோ,"யானோ
"
2368,beltran,பெல்டிரான்,"பெல்டன்
்"
2369,roower,ரோவர்,"ராவர்
"
2370,agamadhabaatthil,அகமதாபாத்தில்,"அகமதபாட்தில்
"
2371,vaethaththin,வேதத்தின்,"வேதத்தின்
"
2372,aththiyaayangkalil,அத்தியாயங்களில்,"அத்தியாயங்களில்
"
2373,roanoke,ரோவனோகே,ரோனோக்க
2374,airoappiya,அய்ரோப்பிய,"சரோப்பிய
"
2375,sikkith,சிக்கித்,"சிக்கித்
"
2376,asansol,அசன்சோல்,"அசன்சொல்
"
2377,kulangkalin,குளங்களின்,"குலங்களின்
"
2378,axis,ஆகஂஸிஸ்,"அக்சி்்
"
2379,adhikamaanathu,அதிகமானது,"அதிகமானது
"
2380,keeliranki,கீழிறங்கி,"கீலிரங்கி
"
2381,maeni,மேனி,"மேனி
"
2382,varma,வர்மா,"வர்மா
"
2383,koodum,இருக்கக்,"கோடும்
"
2384,karuththa,கருத்த,"கருத்த
"
2385,imayamalaiyin,இமயமலையின்,"இமயமளையின்
"
2386,ierppu,ஈர்ப்பு,"இர்ப்பு
"
2387,puroktarai,புறொக்டரை,"புரோக்டரை
"
2388,shanthi,சாந்தி,"ஷா்தி
"
2389,sarbiya,செர்பியா,"சர்பியா
"
2390,akkiramaththinaruku,அக்கிராமத்தினருக்கு,"அக்கிரமத்தினருகுகு
"
2391,poattikkaaga,போட்டிக்காக,"போட்டிக்காக
"
2392,kulangkalaiyum,குளங்களையும்,"குலங்களையும்
"
2393,machine,மஷீன்,"மாச்சனன
"
2394,orissa,ஒரிசா,"ஒரிச்சா
"
2395,kandarinththathu,கண்டறிந்தது,"கண்டரிந்தது
"
2396,sithiraip,சித்திரைப்,"சிதிரைப்
"
2397,varuththappattuch,வருத்தப்பட்டுச்,"வருத்தப்பட்டுச்
"
2398,loodhiaanaa,லூதியானா,"லூதியானா
"
2399,samprathaaya,சம்பிரதாய,"சம்ப்ரதாய
ா"
2400,wabag,வபாக்,"வபபா

"
2401,moorththiyaaga,மூர்த்தியாக,"மூர்த்தியாக
"
2402,thehivalai,தெஹிவளை,"தேஹிவலை
"
2403,walls,வால்ஸ்,"வால்்்்
"
2404,kamio,கேமியோ,"கமமயோ
"
2405,oill,ஆயில்,"ஒய்ல்
"
2406,bano,பனோ,"பானோ
"
2407,irukkinrom,இருக்கின்றோம்,"இருக்கின்றோம்
"
2408,paarththirukkiren,பார்த்திருக்கிறேன்,"பார்த்திருக்கிறென்
"
2409,tharaththaik,தரத்தைக்,"தரத்தைக்
"
2410,tinplate,டின்ப்ளேட்,"தின்ப்ளாட்
"
2411,kohima,கோஹிமா,"கோகிமா
"
2412,aaduvar,ஆடுவர்,"ஆடுவர்
"
2413,kedum,கெடும்,"கேடும்
"
2414,vaakanam,வாகனம்,"வாகணம்
"
2415,nadhikalum,நதிகளும்,"நதிகளும்
"
2416,kizhiththu,கிழித்து,"கிழித்து
"
2417,thaervai,தேர்வை,"தேர்வை
"
2418,uuvaa,ஊவா,"
வா
"
2419,sankar,பிரபு,"சங்கர்
"
2420,boron,போரான்,"போரோன்
"
2421,sanchi,சாஞ்சி,"சா்சி
"
2422,aekapoagam,ஏகபோகம்,"ஏகபோகம்
"
2423,panigazhum,பணிகளும்,"பணிகழும்
"
2424,jharia,ஜாரியா,"ஜரிிா
"
2425,ramachchandran,ராமச்சந்திரன்,"ரமா்ச்சந்தினன
"
2426,lakshmi,லெட்சுமி,"லக்ஷ்மி
"
2427,makalath,மகளைத்,"மககத்த
"
2428,muthalamaicharin,முதலமைச்சரின்,"முதலமைச்சரின்
"
2429,panigazhaiyum,பணிகளையும்,"பணிகழையும்
"
2430,robles,ராப்லெஸ்,"ரோப்ல்்்
"
2431,gold,கோல்ட்,"கோல்ட்
"
2432,thandavaalanggal,தண்டவாளங்கள்,"தண்டவாளங்கள்
"
2433,urudhiyudan,உறுதியுடன்,"உருதியுடன்
"
2434,stephens,ஸ்டீபென்ஸ்,"எ்டெப்ன்்்
"
2435,seithuvittaar,செய்துவிட்டார்,"செய்துவிட்டார்
"
2436,adangiyathu,அடங்கியது,"அடங்கியது
"
2437,sirca,சிர்கா,"சிற்கா
"
2438,amerikkar,அமெரிக்கர்,"அமேரிக்கர்
"
2439,thodarbukku,தொடர்புக்கு,"தொடர்புக்கு
"
2440,idukki,இடுக்கி,"இடுக்கி
"
2441,seyalmuraikal,செயல்முறைகள்,"செயல்முறைகள்
"
2442,gureila,கொரில்லா,"குரேய்லா
"
2443,udpuramaaka,உட்புறமாக,"உட்புரமாக
"
2444,baathaikalai,பாதைகளை,"பாதைகளை
"
2445,kaakiranul,காகிரனுல்,"காகிறனுள்
"
2446,edukkappadaamal,எடுக்கப்படாமல்,"எடுக்கப்படாமல்
"
2447,veliyidappattana,வெளியிடப்பட்டன,"வெளியிடப்பட்டன
"
2448,manathil,அடி,"மனதில்
"
2449,loodhiana,லூதியானா,"லோதியான
"
2450,foseco,ஃபோசெகோ,"போச்கோகோ
"
2451,padikku,படிக்கு,"படிக்கு
"
2452,pinthu,பிந்து,"பிந்து
"
2453,oppanthaththil,ஒப்பந்தத்தில்,"ஒப்பந்தத்தில்
"
2454,pathippiththa,பதிப்பித்த,"பதிப்பித்த
"
2455,aruppukkottai,அருப்புக்கோட்டை,"அருப்புக்கொட்டை
"
2456,panbaadum,பண்பாடும்,"பண்பாடும்
"
2457,jodha,ஜோதா,"ஜோதா
"
2458,kalai,கலாய்,"கலை
"
2459,aadippoora,ஆடிப்பூர,"ஆடிப்பூர
"
2460,zoordan,ஜோர்டான்,"ஒூர்டன்
"
2461,ccameeo,கேமியோ,"க்காீ
"
2462,uurvalamaaka,ஊர்வலமாக,"ர்வலமாக
"
2463,ezhuthukiren,எழுதுகிறேன்,"எழுதுகிறென்
"
2464,anthantha,அந்தந்த,"அந்தந்த
"
2465,seithanar,செய்தனா்,"செய்தனர்
"
2466,mikey,மிக்கி,"மிக்க்
"
2467,seyalpaduvathu,செயல்படுவது,"செயல்படுவது
"
2468,thanthiraththai,தந்திரத்தை,"தந்திரத்தை
"
2469,sarathigal,சாரதிகள்,"சரதிகள்
"
2470,ethirkkatchi,எதிர்க்கட்சி,"எதிர்க்கட்சி
"
2471,viththiyaasamaaga,வித்தியாசமாக,"வித்தியாசமாக
"
2472,pulappaduththiyullaar,புலப்படுத்தியுள்ளார்,"புலப்படுத்தியுள்ளார்
"
2473,rane,ராணே,"ரான

"
2474,holloway,ஹாலோவே,"ஹொல்லோவா
"
2475,harbour,ஹார்பர்,"ஹர்பூர்
"
2476,muyandraar,முயன்றார்,"முயன்றார்
"
2477,foodworks,ஃபுட்வொர்க்ஸ்,"பூட்வோர்க்
்
"
2478,tharasaa,தரஸா,"தரசா
"
2479,dohrey,டோஹ்ரே,"டோஹ்ரி
"
2480,needhimandraththai,நீதிமன்றத்தை,"நீதிமன்றத்தை
"
2481,sambrathaayamaana,சம்பிரதாயமான,"சம்பிரதாயமான
"
2482,ponnaiyum,பொன்னையும்,"பொன்னையும்
"
2483,mathiyaarasu,மத்தியஅரசு,"மதியாரசு
"
2484,vizhikkungaal,விழிக்குங்கால்,"விழிக்குங்கால்
"
2485,pilaikal,பிழைகள்,"பிலைகள்
"
2486,seruppaip,செருப்பைப்,"செருப்பைப்
"
2487,nagpur,நாக்பூர்,நாக்பூர்
2488,nadappadhaga,நடப்பதாக,"நடப்பதக
"
2489,nisaan,நிசான்,"நிசான்
"
2490,latchaththirkum,இலட்சத்திற்கும்,"லட்சத்திற்கும்
"
2491,karumpalahaiyil,கரும்பலகையில்,"கரும்பலாையில்
"
2492,bhadauria,பதௌரியா,"பாடரரிி
"
2493,thala,தள,"தளா
"
2494,oththuzhaikka,ஒத்துழைக்க,"ஒத்துழைக்க
"
2495,kulatthu,குளத்து,"குலத்து
"
2496,viluppuram,விழுப்புரம்,"விலுப்புரம்
"
2497,dhairiyam,தைரியம்,"தைரியம்
"
2498,seiyyappattirunthu,செய்யப்பட்டிருந்து,"செய்யப்பட்டிருந்து
"
2499,muhammat,முஹம்மத்,"முஹம்மா்
"
2500,tayaaraanathu,தயாரானது,"தயாரானது
"
2501,weter,வாட்டர்,"வெட்டர்
"
2502,needikkiradhu,நீடிக்கிறது,"நீடிக்கிறது
"
2503,vanchi,வஞ்சி,"வா்சி
"
2504,innovation,இன்னோவேஷன்,"இன்னோவடின்
"
2505,sype,சைப்,"ச்ப்பே
"
2506,kaanbiththaar,காண்பித்தார்,"காண்பித்தார்
"
2507,annapolis,அன்னாபோலிஸ்,"அன்னபோலி்்
"
2508,roam,ரோம்,"ரோம்
"
2509,aster,ஆஸ்டெர்,"அச்டரர்
"
2510,arinthen,அறிந்தேன்,"அறிந்தென்
"
2511,sukku,சுக்கு,"சுக்கு
"
2512,veelchchiyilirunththu,வீழ்ச்சியிலிருந்து,"வீள்ச்சியிலிருந்து
"
2513,azhuththi,அழுத்தி,"அழுத்தி
"
2514,irunthirupadhagath,இருந்திருப்பதாகத்,"இருந்திருபதகத்
"
2515,koduthirupathaagavum,கொடுத்திருப்பதாகவும்,"கொடுதிருபதாகவும்
"
2516,random,ரேண்டம்,"ரண்டோம்
"
2517,narala,நரலா,"நாரா
"
2518,ipparavai,இப்பறவை,"இப்பரவை
"
2519,vanthiyaththaevan,வந்தியத்தேவன்,"வந்தியத்தேவன்
"
2520,vikram,விக்ரம்,"விக்ராம்
"
2521,veedic,வேதக்,"வீடிக்
"
2522,bean,பீன்,"பீன்
"
2523,mandham,மந்தம்,"மந்தம்
"
2524,ankeny,அன்கேனி,"அங்கென்
"
2525,maruththuvarai,மருத்துவரை,"மருத்துவரை
"
2526,landanil,லண்டனில்,"லண்டனில்
"
2527,carr,கார்,"கார்ர்
"
2528,irundhadhillai,இருந்ததில்லை,"இருந்ததில்லை
"
2529,nobel,நோபல்,"நோபேல்
"
2530,kudumbaththinarudan,குடும்பத்தினருடன்,"குடும்பத்தினருடன்
"
2531,randolph,ரான்டால்ப்,"ரண்டோல்்்
"
2532,kuuttankalukku,கூட்டங்களுக்கு,"குட்டன்களுக்கு
"
2533,nuraiyiiralil,நுரையீரலில்,"நுரையிரலில்
"
2534,irukkap,இருக்கப்,"இருக்கப்
"
2535,yavvithaththilum,எவ்விதத்திலும்,"யவ்விதத்திலும்
"
2536,bogie,போகி,"போகியே
"
2537,utpuramaaga,உட்புறமாக,"உட்புறமாக
"
2538,mastek,மாஸ்டெக்,"மா்்டகக்
"
2539,ottagangal,ஒட்டகங்கள்,"ஒட்டகங்கள்
"
2540,poayinar,போயினர்,"போயினர்
"
2541,ottaganggal,ஒட்டகங்கள்,"ஒட்டகங்கள்
"
2542,wheeling,வீலிங்,"வீலிங்
"
2543,innalgal,இன்னல்கள்,"இன்னல்கள்
"
2544,echchil,எச்சில்,"எச்சில்
"
2545,tylar,டைலர்,"டிலார்
"
2546,suuppirandu,சூப்பிரண்டு,"சுப்பிரண்டு
"
2547,hungaryyil,ஹங்கேரியில்,"ஹுங்கர்யில்
"
2548,tamilarinar,தமிழறிஞர்,"தமிழரிரர்
"
2549,nun,நுண்,"நுன்
"
2550,ippaadhai,இப்பாதை,"இப்பாதை
"
2551,alavukatandhtha,அளவுகடந்த,"அளவுகட்ந்த
"
2552,sei,சேய்,"செய்
"
2553,khambhat,கம்பட்,"கம்்்த்
"
2554,seiveerkal,செய்வீர்கள்,"செய்வீர்கள்
"
2555,sioux,சியோக்ஸ்,சியோக்்்
2556,pirammam,பிரம்மம்,"பிரம்மம்
"
2557,longview,லாங்வ்யூ,"லோங்விவ்வ்
"
2558,chalukiyargal,சாளுக்கியர்கள்,"சலுகியர்கள்
"
2559,thalaimaiyaetroor,தலைமையேற்றார்,"தலைமையேற்றூர்
"
2560,padalankal,படலங்கள்,"படலங்கள்
"
2561,niraivaaga,நிறைவாக,"நிறைவாக
"
2562,teamlease,டீம்லீஸ்,"தேயம்லாசே
"
2563,baathai,பாதை,"பாதை
"
2564,nirvaagikalai,நிர்வாகிகளை,"நிர்வாகிகளை
"
2565,paguthiyirukkiradhu,பகுதியிருக்கிறது,"பகுதியிருக்கிறது
"
2566,kodooramaaka,கொடூரமாக,"கொடோரமாக
"
2567,bapat,பாபட்,"பாப்்
"
2568,jadav,ஜாதவ்,"ஜடவ்

"
2569,adhirupthiyai,அதிருப்தியை,"அதிருப்தியை
"
2570,urudhiyaana,உறுதியான,"உருதியான
"
2571,titagarh,டிடாகர்,"திடகார்ர

"
2572,kiits,கீட்ஸ்,"கிட்ட்
"
2573,matheran,மதேரான்,"மதேரன்்
"
2574,lindaa,லிண்டா,"லிந்டா
"
2575,aachiramam,ஆசிரமம்,"ஆச்சிரமம்
"
2576,plyboards,பிளைபோர்ட்ஸ்,"பிளிபோர்ட்ட்
"
2577,nadanthappattathu,நடந்தப்பட்டது,"நடந்தப்பட்டது
"
2578,pigmees,பியார்,"பிக்மீச்
"
2579,dhoranai,தோரணை,"தொரணை
"
2580,kondirukkavillai,கொண்டிருக்கவில்லை,"கொண்டிருக்கவில்லை
"
2581,semiththirunthaalum,சேமித்திருந்தாலும்,"செமித்திருந்தாலும்
"
2582,thagavalarindhu,தகவலறிந்து,"தகவலரிந்து
"
2583,priya,ப்ரியா,"பிரியா
"
2584,dumka,தும்கா,"தும்கா
"
2585,aanaiyathil,ஆணையத்தில்,"ஆணையதில்
"
2586,apar,அபர்,"அப்ர்
"
2587,meesamsam,மீசாம்சம்,"மீசம்சம்
"
2588,magilnthu,மகிழுந்து,"மகில்ந்து
"
2589,seiyappattaar,செய்யப்பட்டார்,"செய்யப்பட்டார்
"
2590,erinththu,எறிந்து,"எரிந்து
"
2591,kulaththukku,குளத்துக்கு,"குலத்துக்கு
"
2592,kallattre,கள்ளற்றே,"கல்லற்றே
"
2593,vadamaerkil,வடமேற்கில்,"வடமேற்கில்
"
2594,icourt,ஐகோர்ட்,"இக்கோர்ட்
"
